Gau1,Doan2,Begin3,Tran4,THANH HUY,Location
70,69,57,70,55,0
67,69,61,72,57,0
65,70,61,69,57,0
63,63,63,66,59,0
68,65,54,72,50,0
74,66,52,74,55,0
65,74,56,79,52,0
63,68,54,77,57,0
68,68,61,73,54,0
62,67,60,75,54,0
66,65,56,78,54,0
63,68,54,77,57,0
59,67,59,67,52,0
70,69,61,73,52,0
64,69,59,72,53,0
63,54,45,64,62,1
61,53,44,62,57,1
61,53,47,68,64,1
60,64,45,62,63,1
62,55,49,69,64,1
62,65,46,71,68,1
65,56,45,63,64,1
60,60,48,64,62,1
60,59,42,58,63,1
59,59,45,58,70,1
57,59,41,59,57,1
59,56,42,60,65,1
56,55,44,57,63,1
58,58,42,61,60,1
62,57,42,58,64,1
62,40,47,48,72,2
57,39,46,48,73,2
57,38,45,53,77,2
54,39,52,52,76,2
55,41,49,51,69,2
55,41,52,50,69,2
59,43,53,53,69,2
55,41,50,53,81,2
57,41,51,53,80,2
59,41,51,56,73,2
57,42,55,55,78,2
57,42,51,59,74,2
55,42,53,60,71,2
57,43,51,59,72,2
55,43,53,59,70,2
55,59,59,47,79,3
51,64,63,37,76,3
49,56,60,49,90,3
56,58,60,41,73,3
55,64,61,40,75,3
53,61,63,39,75,3
55,62,57,35,79,3
58,62,62,36,79,3
59,61,62,40,90,3
56,62,59,37,76,3
54,61,56,36,90,3
50,69,56,34,90,3
60,61,67,48,76,3
51,59,63,41,80,3
51,58,63,48,77,3
45,64,66,54,89,4
51,68,66,57,71,4
48,64,68,50,90,4
50,71,62,57,90,4
45,66,69,55,90,4
41,67,65,54,76,4
48,66,68,57,70,4
46,67,69,59,90,4
53,62,62,56,77,4
50,64,66,57,77,4
47,72,79,55,90,4
51,72,66,57,90,4
47,65,58,54,83,4
38,65,61,52,78,4
40,66,58,53,79,4
